Field name,Reservoir unit,Country,Region,Basin name,Tectonic regime,Latitude,Longitude,Operator company,Onshore/offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability,Oil density,Oil recovery factor,Condensate recovery factor,Gas recovery factor
RAINBOW TREND,UPPER KEG RIVER-MUSKEG (RAINBOW A),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,58.5052,-119.2926,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1759.8,DEVONIAN,LIMESTONE,226.8,120.0,11.8,37.0,825.072886297376,0.48,,
RAMA,BATURAJA,INDONESIA,FAR EAST,SUNDA,INVERSION,-5.4307,106.2889,CNOOC /REPSOL YPF,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,817.5,NEOGENE,LIMESTONE,180.0,25.8,24.5,10.0,876.1609907120743,0.25,,
RAMADAN,NUBIA C,EGYPT,AFRICA,GULF OF SUEZ,EXTENSION,28.2919,33.3144,GUPCO,OFFSHORE,OIL,MATURE PRODUCTION,SUB-SALT,3210.0,PALEOZOIC,SANDSTONE,390.0,225.0,15.0,100.0,871.8422674060381,,,
RAMAN,MARDIN-RAMAN,TURKEY,MIDDLE EAST,TAURUS/ZAGROS,COMPRESSION,37.7642,41.3083,TPAO,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,1107.3,CRETACEOUS,LIMESTONE,52.5,34.5,14.0,10.0,946.4882943143813,0.14,,
RAMBA,BATURAJA,INDONESIA,FAR EAST,SUMATRA SOUTH,INVERSION,-2.6544,104.1461,ASAMERA,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION,795.0,NEOGENE,LIMESTONE,49.2,16.2,17.0,2000.0,834.8082595870206,,,
RANGELY,WEBER,USA,NORTH AMERICA,UINTA/PICEANCE,COMPRESSION,40.1135,-108.8829,CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,THRUST,1650.0,CARBONIFEROUS-PERMIAN,SANDSTONE,157.8,56.7,12.0,8.0,854.9848942598187,0.49,,
RANTAU,KEUTAPANG-SEURULA,INDONESIA,FAR EAST,SUMATRA NORTH,,4.3503,98.0957,PERTAMINA/JAPEX,ONSHORE,OIL,MATURE PRODUCTION,BACKARC,276.0,NEOGENE,SANDSTONE,600.0,33.0,,120.0,775.3424657534247,0.38,,
RAS BUDRAN,NUBIAN,EGYPT,AFRICA,GULF OF SUEZ,EXTENSION,28.9687,33.1283,SUCO,OFFSHORE,OIL,DECLINING PRODUCTION,SUB-SALT,3150.0,CARBONIFEROUS-CRETACEOUS,SANDSTONE,900.0,480.0,12.0,45.0,915.8576051779935,0.44,,
RAVEN CREEK,UPPER MINNELUSA (B SAND),USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,44.1497,-105.1171,CITATION OIL and GAS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,2483.4,PERMIAN,SANDSTONE,30.0,11.1,12.0,50.0,862.8048780487804,,,
REDWATER,LEDUC,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.65,-113.3333,IMPERIAL OIL RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,924.0,DEVONIAN,LIMESTONE,240.0,30.0,8.0,100.0,849.8498498498498,,,
RENQIU,WUMISHAN,CHINA,FAR EAST,BOHAI,,38.6265,116.0234,PETROCHINA,ONSHORE,OIL,NEARLY DEPLETED,RIFT,2558.1,PROTEROZOIC,DOLOMITE,2304.0,164.4,,1.0,889.937106918239,0.32,,
RHOURDE EL BAGUEL,MENKEL /HASSAOUNA,ALGERIA,AFRICA,GHADAMES,COMPRESSION,31.39,6.9481,SONATRACH,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,2460.0,CAMBRIAN,SANDSTONE,540.0,270.6,9.0,5.0,806.2678062678062,0.32,,
RIMA,AL KHLATA,OMAN,MIDDLE EAST,SOUTH OMAN SALT,GRAVITY,18.8786,56.3146,PDO,ONSHORE,OIL,UNKNOWN,SALT,891.9,CARBONIFEROUS-PERMIAN,SANDSTONE,75.0,30.0,25.0,500.0,860.1823708206687,0.46,,
RINCON,FRIO-VICKSBURG,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,26.5307,-98.5866,CONOCOPHILLIPS,ONSHORE,OIL,MATURE PRODUCTION,DELTA,1020.0,PALEOGENE,SANDSTONE,300.0,45.0,26.0,80.0,815.5619596541786,,,
ROMASHKINO,PASHIY (D-1 POOL),RUSSIA,FORMER SOVIET UNION,VOLGA-URAL,COMPRESSION,55.3433,52.8447,TATNEFT,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1638.9,DEVONIAN,SANDSTONE,34.5,8.7,19.0,375.0,806.2678062678062,0.48,,
RONCADOR,CARAPEBUS,BRAZIL,LATIN AMERICA,CAMPOS,GRAVITY,-21.9449,-39.7171,PETROBRAS,OFFSHORE,OIL,DEVELOPING,SALT,1050.0,CRETACEOUS,SANDSTONE,150.0,156.0,30.0,1000.0,870.7692307692307,0.3,,
ROSEVEAR,SWAN HILLS,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,53.7056,-116.1303,SHELL,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,3082.8,DEVONIAN,DOLOMITE,53.4,17.4,9.0,360.0,,,,0.88
ROURKE GAP,UPPER MINNELUSA (C SAND),USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,44.1578,-105.4258,WILDFIRE PARTNERS INC,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,3067.5,PERMIAN,SANDSTONE,30.0,7.5,11.3,97.0,876.1609907120743,0.45,,
RULISON,MESAVERDE (WILLIAMS FORK-ILES),USA,NORTH AMERICA,PICEANCE,,39.4778,-107.833,BARRETT RESOURCES,ONSHORE,GAS,PLATEAU PRODUCTION,FORELAND,1650.0,CRETACEOUS,SANDSTONE,1140.0,89.1,,0.0,,,,0.7
SACHA,HOLLIN,ECUADOR,LATIN AMERICA,ORIENTE,,-0.3292,-76.8867,PETROECUADOR (PETROPRODUCTION),ONSHORE,OIL,DECLINING PRODUCTION,INVERSION,2805.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,111.0,11.7,,400.0,878.8819875776397,0.33,,
SACHA,NAPO T-U SANDS,ECUADOR,LATIN AMERICA,ORIENTE,INVERSION,-0.3292,-76.8867,PETROECUADOR (PETROPRODUCTION),ONSHORE,OIL,DECLINING PRODUCTION,INVERSION,2682.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,96.0,13.8,16.0,400.0,881.619937694704,0.33,,
SAIH RAWL,BARIK,OMAN,MIDDLE EAST,GHABA SALT,COMPRESSION,21.318,56.7018,PDO,ONSHORE,GAS-CONDENSATE,DEVELOPING,SALT,4380.0,CAMBRIAN-ORDOVICIAN,SANDSTONE,210.0,135.0,9.0,7.0,,,0.4,0.7
SAIH RAWL,SHUAIBA,OMAN,MIDDLE EAST,GHABA SALT,COMPRESSION,21.318,56.7018,PDO,ONSHORE,OIL,PLATEAU PRODUCTION,SALT,1343.4,CRETACEOUS,CHALKY LIMESTONE,60.0,33.0,27.0,7.0,854.9848942598187,0.43,,
SALT CREEK,SECOND WALL CREEK SAND,USA,NORTH AMERICA,POWDER RIVER,COMPRESSION,43.3984,-106.2921,HOWELL PETROLEUM AND OTHERS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,390.0,CRETACEOUS,SANDSTONE,30.0,21.3,19.0,52.0,839.7626112759643,0.5,,
SAMARANG,STAGES IVC-IVF,MALAYSIA,FAR EAST,SABAH,GRAVITY,5.6284,114.8906,PETRONAS,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA,354.0,NEOGENE,SANDSTONE,2021.7,150.0,23.0,250.0,839.7626112759643,0.54,,
SANAND,KALOL (PAYZONE K-III),INDIA,FAR EAST,CAMBAY,INVERSION,23.1,72.417,ONGC,ONSHORE,OIL,SECOND PLATEAU PRODUTION,RIFT,1181.7,PALEOGENE,SANDSTONE,123.0,6.0,28.0,1000.0,921.8241042345277,0.25,,
SANTHAL,KALOL,INDIA,FAR EAST,CAMBAY,INVERSION,23.409,72.202,ONGC,ONSHORE,OIL,REJUVENATING,RIFT,871.8,PALEOGENE,SANDSTONE,44.4,19.8,28.0,7500.0,952.8619528619529,,,
SATICOY,PICO-SANTA BARBARA,USA,NORTH AMERICA,VENTURA,,34.3169,-119.1149,PXP /IBSEN RESOURCES,ONSHORE,OIL,NEARLY DEPLETED,WRENCH,1500.0,NEOGENE,SANDSTONE,420.0,228.0,,250.0,861.753958587089,,,
SCAPA,VALHALL (SCAPA SANDSTONE),UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,58.427,0.325,TALISMAN,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,2256.9,CRETACEOUS,THINLY-BEDDED SANDSTONE,120.0,29.4,20.0,250.0,862.8048780487804,0.47,,
SCHOONEBEEK-EMLICHHEIM,VLIELAND (BENTHEIM),NETHERLANDS /GERMANY,EUROPE,LOWER SAXONY,INVERSION,52.6634,6.8553,NAM,ONSHORE,OIL,DECLINING PRODUCTION,INVERSION,720.0,CRETACEOUS,SANDSTONE,30.0,21.0,32.0,7000.0,904.1533546325878,,,
SCOTT,SGIATH-PIPER,UK,EUROPE,NORTH SEA CENTRAL,EXTENSION,58.2792,0.2312,NEXEN,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,2982.0,JURASSIC,SANDSTONE,108.0,87.0,16.0,100.0,844.776119402985,0.465,,
SERANG,BALIKPAPAN (UPPER DELTAIC SEQUENCE),INDONESIA,FAR EAST,KUTAI,INVERSION,-0.1669999999999999,117.67,CHEVRON,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,1702.5,NEOGENE,SANDSTONE,150.0,54.0,28.0,1628.0,820.2898550724638,0.5,,0.5
SHANSHAN,SANJIANFANG,CHINA,FAR EAST,TURPAN (TURFAN),COMPRESSION,43.05,90.35,PETROCHINA,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,2755.8,JURASSIC,SANDSTONE,285.3,20.1,12.0,7.9,820.2898550724638,0.26,,
SHATLYK,SHATLYK (SHATLYK EAST),TURKMENISTAN,FORMER SOVIET UNION,AMU DARYA,COMPRESSION,37.39,61.1,TURKMENGAS,ONSHORE,GAS,MATURE PRODUCTION,FORELAND,3300.0,CRETACEOUS,SANDSTONE,44.4,18.9,21.8,222.0,775.3424657534247,,,0.84
SHATLYK,SHATLYK (SHATLYK WEST),TURKMENISTAN,FORMER SOVIET UNION,AMU DARYA,COMPRESSION,37.39,61.1,TURKMENGAS,ONSHORE,GAS,REJUVENATING,FORELAND,3141.0,CRETACEOUS,SANDSTONE,44.4,31.8,21.8,222.0,775.3424657534247,,,0.78
SIDKI,NUBIA,EGYPT,AFRICA,GULF OF SUEZ,,27.998,33.554,GUPCO,OFFSHORE,OIL,MATURE PRODUCTION,RIFT,2737.5,PALEOZOIC-CRETACEOUS,SANDSTONE,255.0,210.0,,60.0,865.4434250764525,0.27,,
SIRIKIT,LAN KRABU,THAILAND,FAR EAST,PHITSANULOK,STRIKE-SLIP,16.63,99.9,SHELL,ONSHORE,OIL,PLATEAU PRODUCTION,WRENCH,1386.9,NEOGENE,SANDSTONE,531.6,78.6,20.0,50.0,829.9120234604105,0.39,,
SITIO GRANDE,TAMABRA,MEXICO,LATIN AMERICA,CHIAPAS-TABASCO,,17.7833,-93.1167,PEMEX,ONSHORE,OIL,NEARLY DEPLETED,WRENCH,3732.0,CRETACEOUS,DOLOMITE,390.0,123.0,,135.0,854.9848942598187,0.32,,
SLAUGHTER,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,33.4701,-102.6771,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1530.0,PERMIAN,DOLOMITE,270.0,21.0,12.0,10.0,876.1609907120743,0.45,,
SNAPPER,LATROBE (N-1 UNIT),AUSTRALIA,FAR EAST,GIPPSLAND,INVERSION,-38.2008,148.0136,EXXONMOBIL /BHP BILLITON,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,INVERSION,1104.6,PALEOGENE,SANDSTONE,246.0,118.2,24.0,2000.0,792.7170868347339,0.05,,0.63
SNIPE LAKE,SWAN HILLS (BEAVERHILL LAKE POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,55.1655,-116.7022,POCO PETROLEUM,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,2550.0,DEVONIAN,LIMESTONE,55.5,10.3,6.8,54.0,838.7670420865442,0.35,,
SOUTH BELRIDGE,BELRIDGE DIATOMITE (MONTEREY-ETCHEGOIN),USA,NORTH AMERICA,SAN JOAQUIN,COMPRESSION,35.4368,-119.6788,NUMEROUS,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,180.0,NEOGENE,DIATOMITE,300.0,270.0,55.0,1.5,892.7444794952681,,,
SOUTH COWDEN,GRAYBURG,USA,NORTH AMERICA,PERMIAN,COMPRESSION,31.749,-102.443,NUMEROUS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1230.0,PERMIAN,DOLOMITE,120.0,27.0,8.8,15.0,852.4096385542168,0.27,,
SOUTH LAKE ARTHUR,FRIO (MIOGYP),USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,,30.0895,-92.6647,NUMEROUS,ONSHORE,GAS,NEARLY DEPLETED,DELTA,4950.0,PALEOGENE,SANDSTONE,180.0,24.6,,100.0,,,,
SOUTH TIMBALIER 295,K SANDS,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN OFFSHORE,GRAVITY,28.1963,-90.5412,APACHE,OFFSHORE,OIL,MATURE PRODUCTION,DELTA,2973.0,NEOGENE,SANDSTONE,180.0,32.1,31.0,500.0,876.1609907120743,0.2,,0.59
SREDNEBOTUOBIN,BOTUOBIN,RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,,61.2339,111.7308,TAS-YUYAKH /YAKUTNEDRA /ALROSA-GAS,ONSHORE,OIL,CONTINUING DEVELOPMENT,INVERSION,1850.4,PROTEROZOIC,SANDSTONE,30.0,6.9,,120.0,865.4434250764525,0.29,,
STAG,M. AUSTRALIS,AUSTRALIA,FAR EAST,CARNARVON,,-20.2886,114.2568,APACHE,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,617.1,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,21.6,16.8,,2000.0,940.1993355481728,0.42,,
STATFJORD,BRENT,NORWAY /UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,61.2042,1.8287,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,2180.1,JURASSIC,SANDSTONE,210.0,147.0,27.0,2500.0,834.8082595870206,0.66,,
STATFJORD,STATFJORD,NORWAY /UK,EUROPE,NORTH SEA NORTHERN,,61.2042,1.8287,STATOILHYDRO,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,2391.6,TRIASSIC-JURASSIC,SANDSTONE,222.0,108.0,,470.0,825.072886297376,0.7,,
STRACHAN,LEDUC,CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,52.45,-115.4286,BANF AND AQUITAINE,ONSHORE,GAS,NEARLY DEPLETED,FORELAND,3620.4,DEVONIAN,DOLOMITE,270.0,160.5,7.8,11.0,,,,0.67
SUFFIELD,UPPER MANNVILLE (J POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,50.2851,-111.1427,ALBERTA ENERGY COMPANY /WESTCOAST PETROLEUM,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,885.0,CRETACEOUS,SANDSTONE,21.8,11.0,27.0,1000.0,972.5085910652922,0.2,,
SUIZHONG 36-1,DONGYING,CHINA,FAR EAST,BOHAI,EXTENSION,40.0172,120.8541,CNOOC,OFFSHORE,OIL,PLATEAU PRODUCTION,RIFT,1277.7,PALEOGENE,SANDSTONE,294.0,48.0,32.0,2600.0,959.3220338983051,0.22,,
SUNNILAND TREND,SUNNILAND LIMESTONE (WEST FELDA FIELD),USA,NORTH AMERICA,FLORIDA/BAHAMAS,EXTENSION,26.2683,-81.3397,NUMEROUS,ONSHORE,OIL,MATURE PRODUCTION,PASSIVE MARGIN,3409.2,CRETACEOUS,LIMESTONE,24.0,5.1,15.0,90.0,898.4126984126984,,,
SUNRISE-TROUBADOUR,PLOVER,AUSTRALIA,FAR EAST,BONAPARTE,EXTENSION,-9.5901,128.1538,WOODSIDE,OFFSHORE,GAS-CONDENSATE,UNDEVELOPED,WRENCH,1998.0,JURASSIC,SANDSTONE,177.3,83.7,14.0,28.0,,,,0.58
TABER NORTH,LOWER MANNVILE (O POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,49.9191,-112.161,CANADIAN SUPERIOR,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,915.0,CRETACEOUS,SANDSTONE,57.0,5.4,17.0,1000.0,933.9933993399341,0.35,,
TABER NORTH,UPPER MANNVILE (A POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,49.9191,-112.161,CANADIAN SUPERIOR,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,915.0,CRETACEOUS,SANDSTONE,49.5,10.5,25.0,2000.0,878.8819875776397,0.7,,
TAGLU,REINDEER,CANADA,NORTH AMERICA,BEAUFORT-MACKENZIE,INVERSION,69.3716,-134.8935,IMPERIAL OIL RESOURCES,ONSHORE,GAS,UNDEVELOPED,DELTA,2214.6,PALEOGENE,SANDSTONE,591.0,128.1,17.0,150.0,792.7170868347339,,0.38,0.74
TAKULA,VERMELHA,ANGOLA,AFRICA,CONGO,GRAVITY,-5.2431,11.8072,CHEVRON,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE MARGIN,859.5,CRETACEOUS,SANDSTONE,165.0,52.5,25.0,1000.0,876.1609907120743,0.53,,
TALCO,PALUXY,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,33.3625,-95.084,EXXONMOBIL,ONSHORE,OIL,NEARLY DEPLETED,SALT,1217.7,CRETACEOUS,SANDSTONE,82.5,13.2,25.0,2460.0,933.9933993399341,0.35,,
TALIN,TYUMEN (JUK10-JUK11),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,62.0,66.55,TNK-BP,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,2519.7,JURASSIC,SANDSTONE,33.0,19.8,15.0,160.0,815.5619596541786,0.31,,
TANGENT,WABAMUM,CANADA,NORTH AMERICA,WESTERN CANADA,EXTENSION,55.9397,-117.5984,NUMAC ENERGY,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,1770.0,DEVONIAN,DOLOMITE,219.0,39.0,5.0,0.3,834.8082595870206,0.17,,
TEAGUE TOWNSITE,COTTON VALLEY LIME,USA,NORTH AMERICA,GULF OF MEXICO NORTHERN ONSHORE,GRAVITY,31.6305,-96.2674,NUMEROUS,ONSHORE,GAS,DECLINING PRODUCTION,SALT,3570.0,JURASSIC,CHALKY LIMESTONE,105.0,21.6,10.0,0.1,771.1171662125341,,,0.76
TEMSAH,SIDI SALIM,EGYPT,AFRICA,NILE DELTA,STRIKE-SLIP,31.84,32.145,IEOC,OFFSHORE,GAS-CONDENSATE,DEVELOPING,WRENCH,3717.0,NEOGENE,SANDSTONE,98.4,39.3,24.5,390.0,792.7170868347339,,,
TERN,BRENT,UK,EUROPE,NORTH SEA NORTHERN,INVERSION,61.2667,0.9167,SHELL,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,2175.6,JURASSIC,SANDSTONE,81.9,51.0,22.0,350.0,854.9848942598187,0.42,,
THISTLE,BRENT,UK,EUROPE,NORTH SEA NORTHERN,EXTENSION,61.3833,1.55,DNO,OFFSHORE,OIL,NEARLY DEPLETED,RIFT,2391.0,JURASSIC,SANDSTONE,142.5,114.0,24.0,1200.0,832.8428487345498,0.5,,
THREE BAR,THIRTYONE,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.1661,-102.8024,APACHE /HUMBLE,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2430.0,DEVONIAN,CHERT,39.0,21.0,15.0,5.0,817.9190751445086,,,
TIA JUANA,LA ROSA-LAGUNILLAS (TIA JUANA ONSHORE AREA),VENEZUELA,LATIN AMERICA,MARACAIBO,COMPRESSION,10.2617,-71.3826,PDVSA,ONSHORE-OFFSHORE,OIL,MATURE PRODUCTION,WRENCH,420.0,NEOGENE,SANDSTONE,150.0,36.0,35.0,1200.0,986.0627177700347,0.23,,
TIN CUP MESA,PARADOX (UPPER ISMAY),USA,NORTH AMERICA,PARADOX,COMPRESSION,37.4211,-109.1333,COCHRANE RESOURCES /PIONEER,ONSHORE,OIL,NEARLY DEPLETED,INTRACRATONIC,1629.0,CARBONIFEROUS,DOLOMITE,18.0,15.0,11.0,2.8,808.1096516276414,0.48,,
TIRRAWARRA,TIRRAWARRA,AUSTRALIA,FAR EAST,COOPER,INVERSION,-27.6764,140.1292,SANTOS,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,2828.1,CARBONIFEROUS-PERMIAN,SANDSTONE,34.5,18.0,11.2,1.0,775.3424657534247,0.26,,
TOLON,NEDZHELIN-TAGANDZHIN-MONOM,RUSSIA,FORMER SOVIET UNION,SIBERIAN EASTERN,TRANSPRESSION,63.75,124.0,YAKUTGASPROM,ONSHORE,GAS,UNDEVELOPED,PASSIVE MARGIN,2460.0,TRIASSIC,SANDSTONE,492.0,36.9,17.0,28.0,766.9376693766937,,,
TOMMELITEN GAMMA,TOR-EKOFISK,NORWAY,EUROPE,NORTH SEA CENTRAL,GRAVITY,56.4844,2.9334,STATOILHYDRO,OFFSHORE,GAS-CONDENSATE,ABANDONED,SALT,2888.7,CRETACEOUS-PALEOGENE,CHALK,192.0,165.0,20.0,0.8,792.7170868347339,,0.19,0.46
TOR,TOR-EKOFISK,NORWAY,EUROPE,NORTH SEA CENTRAL,GRAVITY,56.6389,3.3355,CONOCOPHILLIPS,OFFSHORE,OIL,MATURE PRODUCTION,SALT,2856.0,CRETACEOUS-PALEOGENE,CHALK,240.0,147.0,21.0,0.6,834.8082595870206,0.22,,
TUBRIDGI,FLACOURT-BIRDRONG,AUSTRALIA,FAR EAST,CARNARVON,INVERSION,-21.807,114.8181,ORIGIN ENERGY,ONSHORE,GAS,NEARLY DEPLETED,RIFT,484.2,CRETACEOUS,GLAUCONITIC SANDSTONE,12.3,9.3,28.5,1000.0,,,,
TURNER VALLEY,TURNER VALLEY (RUNDLE POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,50.6704,-114.2665,TALISMAN,ONSHORE,OIL,MATURE PRODUCTION,SUB-THRUST,900.0,CARBONIFEROUS,DOLOMITE,135.0,88.8,8.2,7.0,829.9120234604105,0.22,,0.76
UCHKYR,XIV-1,UZBEKISTAN,FORMER SOVIET UNION,AMU DARYA,,40.1494,62.9906,SREDAZGAZPROM,ONSHORE,GAS,DECLINING PRODUCTION,INVERSION,1523.4,CRETACEOUS,SANDSTONE,29.4,6.9,,65.0,788.3008356545961,,,0.83
UCHKYR,XV-1,UZBEKISTAN,FORMER SOVIET UNION,AMU DARYA,INVERSION,40.1494,62.9906,SREDAZGAZPROM,ONSHORE,GAS,DECLINING PRODUCTION,INVERSION,1632.9,JURASSIC,DOLOMITE,24.6,17.7,16.0,61.0,788.3008356545961,,,0.83
UCHKYR,XV-2,UZBEKISTAN,FORMER SOVIET UNION,AMU DARYA,INVERSION,40.1494,62.9906,SREDAZGAZPROM,ONSHORE,GAS,DECLINING PRODUCTION,INVERSION,1664.4,JURASSIC,DOLOMITE,60.0,6.0,13.0,7.3,788.3008356545961,,,0.83
ULA,ULA,NORWAY,EUROPE,NORTH SEA CENTRAL,INVERSION,57.117,2.833,BP,OFFSHORE,OIL,MATURE PRODUCTION,SALT,3223.2,JURASSIC,SANDSTONE,123.0,113.1,16.5,300.0,829.9120234604105,0.57,,
UPPER VALLEY,KAIBAB-TIMPOWEAP,USA,NORTH AMERICA,KAIPAROWITS,COMPRESSION,37.618,-111.735,CITATION OIL and GAS,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,1905.0,PERMIAN-TRIASSIC,DOLOMITE,75.0,9.0,11.0,21.0,915.8576051779935,0.33,,
URENGOY,POKUR (PK1-6),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,66.0533,76.9497,TYUMENNEFTEGAZ,ONSHORE,GAS,DECLINING PRODUCTION,INTRACRATONIC,1054.2,CRETACEOUS,SANDSTONE,210.0,132.0,30.0,330.0,,,,0.7
URIKHTAU,KT-I,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN NORTH,,48.4061,57.3269,KAZAKHOIL AKTOBE,ONSHORE,OIL,UNDEVELOPED,SUB-SALT,2487.0,CARBONIFEROUS,DOLOMITIC LIMESTONE,418.2,78.6,,140.0,820.2898550724638,0.24,,0.85
USA,AFONIN,RUSSIA,FORMER SOVIET UNION,TIMAN-PECHORA,,66.2022,57.2928,UNKNOWN,ONSHORE,OIL,MATURE PRODUCTION,INVERSION,2943.9,DEVONIAN,SANDSTONE,74.7,26.7,,120.0,844.776119402985,0.37,,
UZEN,UNITS XIII-XVIII,KAZAKHSTAN,FORMER SOVIET UNION,CASPIAN MIDDLE,INVERSION,43.4175,52.8658,MANGYSTAUMUNAIGAZ,ONSHORE,OIL,MATURE PRODUCTION,INVERSION,1032.0,JURASSIC,SANDSTONE,276.0,130.8,21.0,235.0,854.9848942598187,0.26,,
VACUUM,SAN ANDRES,USA,NORTH AMERICA,PERMIAN,COMPRESSION,32.7919,-103.5855,EXXONMOBIL /CONOCOPHILLIPS /CHEVRON,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,1275.0,PERMIAN,DOLOMITE,111.0,45.0,12.0,17.0,834.8082595870206,,,
VALDEMAR,TUXEN-SOLA,DENMARK,EUROPE,NORTH SEA CENTRAL,INVERSION,55.8167,4.5667,MAERSK,OFFSHORE,OIL,PLATEAU PRODUCTION,INVERSION,2118.9,CRETACEOUS,CHALK,84.0,75.0,25.0,0.5,829.9120234604105,0.11,,
VALHALL,HOD-TOR,NORWAY,EUROPE,NORTH SEA CENTRAL,INVERSION,56.2619,3.3947,BP,OFFSHORE,OIL,PLATEAU PRODUCTION,INVERSION,2294.4,CRETACEOUS,CHALK,144.0,123.0,35.0,2.0,839.7626112759643,0.45,,
VALHALLA,KASKAPAU (DOE CREEK I POOL),CANADA,NORTH AMERICA,WESTERN CANADA,COMPRESSION,55.4714,-119.3361,PETRO-CANADA AND OTHERS,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,738.0,CRETACEOUS,SANDSTONE,3.3,3.6,23.0,210.0,834.8082595870206,0.24,,
VAREGAN,MEGION-VAREGAN (A5-B10),RUSSIA,FORMER SOVIET UNION,SIBERIAN WESTERN,COMPRESSION,62.6167,77.6622,NOYABRSKNEFTEGAS,ONSHORE,OIL,DECLINING PRODUCTION,INTRACRATONIC,1673.1,CRETACEOUS,SANDSTONE,945.0,128.7,23.6,187.0,815.5619596541786,0.3,,
VENTURE,MIC MAC-MISSISAUGA,CANADA,NORTH AMERICA,SCOTIAN,GRAVITY,44.0377,-59.5735,SABLE OFFSHORE ENERGY,OFFSHORE,GAS,DEVELOPING,PASSIVE MARGIN,4269.3,JURASSIC-CRETACEOUS,SANDSTONE,1574.7,150.0,14.0,30.0,766.9376693766937,,0.64,0.65
